"City","State","lat","lng"
"Ambrose","GA",31.549597,-82.987305
"Ambrose","ND",48.816502,-103.467251
"Ameagle","WV",37.784459,-81.118491
"Amelia","LA",29.688425,-91.220844
"Amelia","NE",42.556421,-99.032048
"Amelia","OH",39.014823,-84.205859
"Amelia Court House","VA",37.342768,-77.984092
"Amenia","ND",47.021032,-97.271545
"Amenia","NY",41.826491,-73.710901
"American Canyon","CA",NA,NA
"American Falls","ID",42.635233,-112.945777
"American Fork","UT",40.395796,-111.803101
"Americus","GA",32.0458335,-84.1984145
"Americus","KS",38.556174,-96.261884
"Amery","WI",45.348566,-92.401379
"Ames","IA",42.0333434,-93.6003892
"Ames","NE",41.499208,-96.624657
"Ames","OK",36.246582,-98.185445
"Amesbury","MA",42.853539,-70.948211
"Amesville","OH",39.410743,-81.936397
"Amf Ohare","IL",41.968029,-87.891214
"Amherst","CO",40.608363,-102.3582
"Amherst","MA",42.373716,-72.5379146666667
"Amherst","NE",40.916581,-99.292974
"Amherst","NH",42.87474,-71.629365
"Amherst","OH",41.361746,-82.253828
"Amherst","SD",45.758528,-97.927389
"Amherst","TX",34.02831,-102.425378
"Amherst","VA",37.59162,-79.108441
"Amherst","WI",44.393087,-89.335313
"Amherst Junction","WI",44.530435,-89.356252
"Amherstdale","WV",37.795916,-81.783341
"Amidon","ND",46.454966,-103.485325
"Amigo","WV",37.603344,-81.53998
"Amissville","VA",38.687824,-78.076916
"Amistad","NM",36.369783,-103.505541
"Amite","LA",30.74483,-90.41058
"Amity","AR",34.232509,-93.313673
"Amity","MO",39.904361,-94.490744
"Amity","OR",45.121454,-123.191368
"Amity","PA",40.049765,-80.168133
"Amityville","NY",40.8042875,-73.024472
"Amlin","OH",39.969036,-83.011389
"Amma","WV",38.591037,-81.273681
"Ammon","VA",37.072361,-77.647495
"Amo","IN",39.736926,-86.483474
"Amonate","VA",37.13549,-81.563406
"Amoret","MO",38.251879,-94.331993
"Amorita","OK",36.925116,-98.29243
"Amory","MS",33.942639,-88.411284
"Amsden","OH",41.037511,-82.910552
"Amsterdam","MO",38.251879,-94.331993
"Amsterdam","NY",42.906298,-74.229042
"Amsterdam","OH",40.486354,-80.84505
"Amston","CT",41.626377,-72.3728
"Anabel","MO",39.742779,-92.327977
"Anacoco","LA",31.142302,-93.268452
"Anaconda","MT",46.15821,-113.009421
"Anacortes","WA",48.499172,-122.607111
"Anacostia Annex","DC",38.893311,-77.014647
"Anadarko","OK",35.167108,-98.325598
"Anaheim","CA",33.640302,-117.769442
"Anahola","HI",22.055787,-159.454519
"Anahuac","TX",29.662044,-94.592995
"Anaktuvuk Pass","AK",66.693255,-153.993988
"Analomink","PA",41.071213,-75.236436
"Anamoose","ND",47.926998,-100.284856
"Anamosa","IA",42.10352,-91.240145
"Anasco","PR",18.288685,-67.139696
"Anatone","WA",46.121593,-117.17858
"Anawalt","WV",37.375246,-81.653889
"Anchor","IL",40.568549,-88.722113
"Anchor Point","AK",59.837116,-151.70781
"Anchorage","AK",61.1482215,-149.684818666667
"Anchorville","MI",42.824095,-82.66522
"Ancona","IL",41.042631,-88.864211
"Ancram","NY",42.067399,-73.657698
"Ancramdale","NY",42.043039,-73.587575
"Andale","KS",37.779733,-97.636619
"Andalusia","AL",31.304166,-86.386398
"Andalusia","IL",41.440131,-90.742806
"Anderson","AK",63.543571,-149.986676
"Anderson","AL",34.942388,-87.273375
"Anderson","CA",40.469324,-122.278404
"Anderson","IN",40.12823325,-85.703013875
"Anderson","MO",36.666988,-94.419201
"Anderson","SC",34.4698201666667,-82.7259581666667
"Anderson","TX",30.562982,-95.981285
"Anderson Island","WA",47.156263,-122.706706
"Andersonville","GA",32.155949,-84.163983
"Andersonville","TN",36.202528,-84.068808
"Andes","NY",42.12923,-74.843187
"Andover","CT",41.731847,-72.374634
"Andover","IA",41.964393,-90.222348
"Andover","IL",41.295367,-90.290476
"Andover","KS",37.701532,-97.098431
"Andover","MA",42.6450014,-71.1194828
"Andover","ME",44.56816,-70.704051
"Andover","MN",45.237661,-93.272428
"Andover","NH",43.447006,-71.684093
"Andover","NJ",41.092778,-74.718969
"Andover","NY",42.145794,-77.811901
"Andover","OH",41.740136,-80.602278
